Judul,penulis,Dosen Pembimbing I,Dosen Pembimbing II,abstrak,label
"PELAPORAN BIAYA KUALITAS UNTUK MEMINIMALKAN TERJADINYA RISIKO PRODUK CACAT DALAM MENINGKATKAN PROFITABILITAS PERUSAHAAN PADA CV. KAPUAS INTI SARANA, SURABAYA",Penulis : M. Boy Singgih Gitayuda,"Drs. Ec. Makhmud Zulkifli, M.Si","Prasetyo Nugroho,. S.Pi., MM","ABSTRAK

Penelitian ini mengungkapkan beberapa rumusan masalah, diantaranya adalah bagaimanakah pelaporan biaya kualitas dapat meminimalkan terjadinya risiko produk cacat pada CV. Kapuas Inti Sarana?, dan bagaimanakah pengaruh pelaporan biaya kualitas terhadap tingkat profitabilitas pada CV. Kapuas Inti Sarana?. Penelitian ini bertujuan untuk mengetahui adanya pengaruh pelaporan biaya kualitas terhadap terjadinya risiko produk cacat dan tingkat profitabilitas perusahaan. 
Penelitian ini menggunakan metode deskriptif, yang menggambarkan suatu fenomena dengan mendeskripsikan sejumlah variabel yang berasal dari data masa lalu dan yang terjadi pada masa sekarang. 
Hasil dari penelitian ini adalah dengan pelaporan biaya kualitas secara periodik dan terperinci dapat berpengaruh pada peningkatan profitabilitas perusahaan, ini dapat terjadi karena pelaporan biaya kualitas secara terperinci akan mengurangi terjadinya risiko produk cacat. Apabila produk cacat berkurang maka akan berpengaruh pada peningkatan penjualan, yang secara langsung juga akan berpengaruh pada meningkatnya profitabilitas perusahaan secara keseluruhan. 
Kata kunci: Risiko produk cacat, biaya kualitas, profitabilitas
",msdm
Pengaruh Retailing Mix terhadap Keputusan Pembelian Konsumen pada Idola Mart Kwanyar,Penulis : Fitriyah,"Dr. H. Pribanus Wantara, Drs., MM","Yustina Chrismardani, S.Si., MM","Tujuan penelitian ini adalah untuk mengetahui pengaruh variabel Retailing Mix yang terdiri dari lokasi, merchandise, harga, atmosfer dalam gerai, pelayanan dan promosi terhadap keputusan pembelian konsumen dan untuk mengetahui variabel retailimg mix yang berpengaruh lebih besar terhadap keputusan pembelian konsumen pada Idola Mart Kwanyar.
Pendekatan penelitian yang digunakan dalam penelitian ini adalah kuantitatif, yaitu penelitian yang berlandaskan pada filsafat positivisme yang bertujuan untuk menguji hipotesis yang telah ditetapkan. Sampel dalam penelitian ini adalah konsumen yang melakukan pembelian pada Idola Mart Kwanyar yang berjumlah 70 konsumen. Metode pengambilan sampel yang digunakan adalah purposive sampling. Untuk pengujian instrumen menggunakan uji Validitas, Reliabilitas dan uji Asumsi Klasik, sedangkan teknik analisis data yang digunakan untuk menguji hipotesis adalah menggunakan regresi linier berganda dengan memakai uji F dan uji t.
Berdasarkan hasil penelitian menunjukkan bahwa nilai adjusted R Square sebesar 0,557 yang berarti besarnya pengaruh variabel bebas terhadap variabel terikat adalah 55,7%, sedangkan sisanya 44,3% dipengaruhi oleh variabel lain yang tidak diteliti dalam penelitian ini. Berdasarkan uji F variabel Retailing Mix yang terdiri dari lokasi, merchandise, harga, atmosfer dalam gerai, pelayanan dan promosi secara simultan berpengaruh signifikan terhadap keputusan pembelian Idola Mart Kwanyar. Berdasarkan uji t diketahui bahwa secara parsial variabel lokasi, merchandise, harga dan pelayanan berpengaruh signifikan terhadap variabel terikat sedangkan variabel atmosfer dalam gerai dan promosi tidak berpengaruh terhadap variabel terikat. Variabel yang berpengaruh lebih besar adalah variabel harga.

Kata kunci : Retailing Mix lokasi, merchandise, harga, atmosfer dalam gerai, pelayanan, promosi dan Keputusan Pembelian",msdm
PENGARUH PENGEMBANGAN KARIR TERHADAP SEMANGAT KERJA KARYAWAN PLN CABANG BANGKALAN,Penulis : Danial Aziz M.YD,"Dr. Hj. Iriani Ismail, Dra.,MM","Drs. Ec. Mudji Kuswinarno, M.Si","PLN merupakan Badan Usaha Milik Negara yang bergerak dalam bidang penyediaan listrik nasional. PLN mengelola bisnisnya melalui praktek-paktek terbaik dengan mengoptimalisasikan sumbr daya manusia yang dimiliki. Salah satu caranya melalui proses pengembangan karir. Tujuan penelitian ini adalah untuk mengetahui apakah terdapat pengaruh yang signifikan antara pengembangan karir terhadap semangat kerja karyawan PLN Cabang Bangkalan secara parsial dan secara simultan .Penelitian ini bersifat penelitian populasi. Besar populasi pada penelitian ini sebesar 64 responden.Uji kuesioner yang digunakan adalah uji validitas dan uji reliabilitas. Teknik analisis data menggunakan analisis regresi linier berganda, uji t, uji F dan koefisien determinasi.
Hasil penelitian ini menyatakan  variabel pengembangan karir yang terdiri dari prestasi kerja, pengenalan, kesetiaan orgnisasional, mentor dan sponsor serta kesempatan untuk tumbuh memiliki pengaruh yang positif terhadap semangat kerja karyawan. Dari 5 variabel diatas, prestasi kerja merupakan variabel yang memiliki pengaruh paling kuat terhadap semangat kerja karyawan PLN cabang bangkalan 
Kata kunci :Pengembangan karir, semangat kerja,Karyawan PLN",pemasaran
"PENGARUH PERSEPSI MANFAAT, PERSEPSI KEMUDAHAN, KEAMANAN DAN KETERSEDIAAN FITUR TERHADAP MINAT ULANG NASABAH BANK DALAM MENGGUNAKAN INTERNET BANKING (Studi pada Program Layanan Internet Banking BRI)",Penulis : Ahmad,"Bambang Setiyo Pambudi, S.E., MM.","Fathor AS, S.E., MM.","Tujuan penelitian ini adalah untuk mengidentifikasi variabel-variabel yang mempengaruhi minat ulang nasabah BRI untuk menggunakan kembali layanan Internet Banking BRI baik secara parsial maupun simultan. Penelitian ini dilakukan dengan metode kuantitatif dimana populasi dalam penelitian ini adalah semua nasabah BRI di kota Bangkalan yang menggunakan layanan Internet Banking BRI dan diperoleh sampel sebanyak 50 responden yang diambil dengan teknik purposive sampling. Teknik analisis menggunakan regresi linier berganda. Hasil penelitian menunjukkan bahwa, (1) secara simultan terjadi pengaruh yang signifikan antara variabel bebas (persepsi manfaat, persepsi kemudahan, keamanan, dan ketersediaan fitur) terhadap minat ulang menggunakan internet banking, (2) secara parsial, menunjukkan bahwa semua variabel bebas berpengaruh positif dan signifikan terhadap minat ulang menggunakan layanan internet banking, kecuali pada variabel persepsi kemudahan, kecuali pada variabel persepsi kemudahan.
Kata Kunci: Persepsi Manfaat, Persepsi Kemudahan, Keamanan, Ketersediaan Fitur, Minat Ulang Menggunakan Internet Banking.",keuangan
analisis faktor-faktor yang berpengaruh terhadap kebijakan deviden pada perusahaan manufaktur yang terdaftar di BEI periode 2008-2011,Penulis : Jailani,"Hj. Evaliati amaniyah, SE., M.SM","Purnamawati, SE., M.Si","ABSTRAK
Tujuan penelitian ini adalah untuk mengetahui pengaruh variabel current ratio, return on equity, firm size, leverage dan business risk terhadap kebijakan deviden pada perusahaan manufaktur yang terdaftar di Bursa Efek Indonesia pada periode 2008-2011. Pendekatan penelitian yang digunakan dalam penelitian ini adalah kuantitatif. Sampel dalam penelitian ini adalah perusahaan manufaktur yang membagikan deviden secara berturut-turut selama periode 2008-2011. Metode pengambilan sampel yang digunakan adalah purposive sampling. Untuk pengujian instrumen menggunakan uji Asumsi Klasik, sedangkan teknik analisis data yang digunakan untuk menguji hipotesis adalah menggunakan regresi linier berganda dengan memakai uji F dan uji t. Berdasarkan hasil penelitian menunjukkan bahwa nilai R Square sebesar 0,469. Berdasarkan uji F variabel current ratio, return on equity, firm size, leverage dan businees risk secara simultan berpengaruh signifikan terhadap dividend payout ratio. Berdasarkan uji t diketahui bahwa secara parsial variabel current ratio, firm size dan businees risk berpengaruh signifikan terhadap dividend payout ratio sedangkan variabel return on equity dan leverage tidak berpengaruh signifikan terhadap dividend payout ratio.
Kata kunci : current ratio, return on equity, firm size, leverage dan businees risk",keuangan
"PENGARUH CELEBRITY ENDORSER IWAN FALS TERHADAP MINAT BELI PRODUK TOP COFFEE
( STUDI PADA MASYARAKAT SUMUR KEMBANG KELURAHAN PEJAGAN KECAMATAN BANGKALAN KABUPATEN BANGKALAN )",Penulis : Tayyi Matun,Bambang Setiyo Pambudi,Yustina Chrismardani,"Tujuan penelitian ini adalah mengetahui pengaruh celebrity endorser Iwan Fals terhadap minat beli produk Top Coffee (studi pada masyarakat Sumur Kembang Kelurahan Pejagan Kecamatan Bangkalan Kabupaten Bangkalan). Penelitian ini menggunakan metode kuantitatif dengan pendekatan survey.
Populasi penelitian ini adalah masyarakat Sumur Kembang Kelurahan Pejagan Kecamatan Bangkalan Kabupaten Bangkalan dan karena menngunakan metode sampling aksidental, maka penelitian ini mendapatkan 60 responden pada bulan desember 2012. Metode pengumpulan data dengan cara penelitian lapang dengan membagikan kuesioner dan riset perpustakaan. Teknik pengolahan data yang digunakan adalah pengolahan data dengan bantuan [erangkat lunak SPSS versi 16.0 for windows dan menggunakan skala likert.
Hasil penelitian menyebutkan bahwa hasil uji F (simultan) menunjukkan bahwa variabel bebas yang terdiri trustworthiness (X1),  expertise (X2), attractiveness (X3), respect (X4) dan similarity (X5) mempengaruhi variabel terikat yaitu minet beli (Y) produk Top Coffee. Kemudian, hasil dari uji t (parsial) membuktikan bahwa variabel bebas yang terdiri trustworthiness (X1), expertise (X2), attractiveness (X3), respect (X4) dan similarity (X5) berpengaruh signifikan terhadap minat beli (Y) produk Top Coffee.  Dapat disimpulkan bahwa dari kelima variabel bebas yang mempunyai pengaruh lebih besar terhadap miant beli (Y) produk Top Coffee adalah variabel trustworthiness (X1).",keuangan
"Pengaruh Harga dan Kualitas Pelayanan terhadap Kepuasan Berbelanja pada Swalayan Tom & Jerry Bangkalan
",Penulis : ALI RAHBINI,PRIBANUS WANTARA,NIRMA KURRIWATI,"Ali Rahbini, Pengaruh Harga dan Kualitas Pelayanan Terhadap Kepuasan Berbelanja pada Swalayan Tom & Jerry Bangkalan dibawah bimbingan Pribanus Wantara dan Nirma Kurriwati. .
Penelitian ini bertujuan untuk mengukur pengaruh Harga dan Kualitas Pelayanan Terhadap Kepuasan Berbelanja di Swalayan Tom & Jerry yang dilakukan terhadap konsumen yang berbelanja di swalayan Tom & Jerry dengan jumlah responden penelitian sebanyak 70 responden, data yang terkumpul selanjutnya dilakukan analisis Regresi Linier Berganda. Dengan menggunakan alat bantu software SPSS 16.0. hasil analisis terhadap pengujian hipotesis diperoleh sebagai berikut: bahwa harga dan kualitas pelayanan mempunyai pengaruh secara simultan terhadap kepuasan berbelanja di swalayan Tom & Jerry, dan Secara Parsial variabel harga, kehandalan, daya tanggap, jaminan, empati dan bukti fisik mempunyai pengaruh parsial terhadap kepuasan berbelanja di swalayan Tom & Jerry Bangkalan, serta variabel harga merupakan variabel yang dominan berpengaruh terhadap kepuasan berbelanja di swalayan Tom & Jerry Bangkalan.  

Kata Kunci : Harga, Keandalan, Daya Tanggap, Jaminan, Empati, Bukti Fisik
",pemasaran
PENGARUH RETAILING MIX (BAURAN ECERAN) TERHADAP KEPUTUSAN PEMBELIAN KONSUMEN (Studi Pada Indah Swalayan Bangkalan),Penulis : Ali Usman,"Dr. Ir. Nurita Andriani, MM","Hadi Purnomo, SE., MM","Bauran eceran merupakan salah satu langkah pemasaran bagi keberhasilan perusahaan, baik yang bergerak dalam bidang produksi barang maupun jasa.Indah Swalayan Bangkalan merupakan salah satu bisnis eceran yang bergerak dalam jual beli barang yang perlu memperhatikan perilaku konsumen untuk mengambil keputusan. Variabel bauran eceran menggunakan teori Berman dan Evans dalam Foster (2008) yang terdiri dari lokasi, pelayanan, produk, harga, suasana, harga dan promosi.
Tujuan penelitian ini adalah (1) untuk mengetahui pengaruh bauran eceran yang terdiri dari lokasi, pelayanan, produk, harga, suasana, harga dan promosi secara simultan terhadap keputusan pembelian konsumen (studi pada Indah Swalayan Bangkalan), (2) untuk mengetahui variabel bauran eceran yang berpengaruh lebih besar terhadap keputusan pembelian (studi pada Indah Swalayan Bangkalan).
Penelitian ini menggunakan pendekatan pendekatan kuantitatif. Teknik pengambilan sampel menggunakan purposive sampling dengan 80 responden.Teknik pengumpulan data yaitu dengan wawancara, kepustakaan, dan kuesioner dan menggunakan skala likert untuk mengukur jawaban responden.Untuk menguji instrumen menggunakan uji validitas, uji reliabilitas, dan uji asumsi klasik.Sedangkan teknik analisis data yaitu menggunakan analisis regresi linier berganda karena variabel yang digunakan lebih dari dua variabel, dengan uji F dan uji t.
Hasil penelitian ini menunjukkan bahwa variabel bauran eceran yang terdiri dari lokasi, pelayanan, produk, harga, suasana, harga dan promosi berpengaruh secara simultan terhadap keputusan pembelian (studi pada Indah Swalayan Bangkalan).Namun, tidak semua variabel bauran eceran berpengaruh secara parsial terhadap keputusan pembelian pada Indah Swalayan Bangakalan).Variabel harga berpengaruh lebih besar terhadap keputusan pemebelian pada Indah Swalayan Bangkalan).

Kata Kuci : Bauran eceran, lokasi, pelayanan, produk, harga, suasana toko, karyawan, promosi, dan Keputusan pembelian.
",pemasaran
ANALISIS CONSUMER DECISION MODEL (CDM) UNTUK MENGUKUR EFEKTIFITAS IKLAN COCA-COLA VERSI PIALA DUNIA 2010 DI TELEVISI (Studi Kasus Pada Mahasiswa Universitas Trunojoyo Madura),Penulis : SYAIFUL ANWAR,"Dr. H. Pribanus Wantara,Drs, MM","Fathor AS, S.E.MM","ABSTRAK

Penelitian ini bertujuan untuk mengukur efektivitas iklan menggunakan Consumer Decision Model (CDM) yang dilakukan terhadap mahasiswa Universitas Trunojoyo Madura dengan jumlah responden penelitian sebanyak 98 orang mahasiswa, data yang terkumpul selanjutnya dilakukan analisis jalur (path analysis). Dengan menggunakan alat bantu software SPSS 13.0. hasil analisis terhadap pengujian hipotesis diperoleh sebagai berikut: dari 8 pengaruh langsung terdapat 6 pengaruh langsung yang signifikan dan 2 pengaruh langsung yang tidak signifikan, selanjutnya dari 4 pengaruh tidak langsung terdapat 2 pengaruh tidak langsung yang signifikan dan 2 pengaruh tidak langsung yang tidak signifikan.
Kata kunci : CDM analisis jalur, pesan iklan, pengenalan merek, keyakinan konsumen, sikap konsumen, niat beli, Pembelian Nyata.
",pemasaran
Pengaruh Kompensasi Terhadap Kinerja Karywan pada PT. Pos Indonesia (Persero) Kantor Cabang Bnagkalan ,Penulis : agustin pratiwi,Drs.Ec. Mudji Kuswinarno.M.Si.,"Faidal. S.E, MM.","ABSTRAK 

	Tujuan penelitian ini adalah untuk mengetahui apakah variabel yang terdiri dari kompensasi finansial langsung, kompensasi finansial tidak langsung dan kompensasi nonfinansial secara simultan memiliki pengaruh yang signifikan terhadap kinerja karyawan, serta untuk mengetahui variabel manakah dari kompensasi finansial langsung, kompensasi finansial tidak langsung dan kompensasi nonfinansial yang berpengaruh dominan terhadap kinerja karyawan, untuk membuktikan hipotesis penelitian, alat analisis yang digunakan adalah regresi linier berganda dengan bantuan SPSS. 
	Hasil pengujian menunjukkan nilai Fhitung sebesar 6,851 dengan nilai signifikan Fhitung sebesar 0.001 (p<0.05) yang berarti ada pengaruh signifikan variabel kompensasi finansial langsung, kompensasi finansial tidak langsung dan kompensasi nonfinansial secara simultan terhadap kinerja karyawan pada PT. Pos Indonesia (Persero) Kantor Cabang Bangkalan.

Kata kunci: kompensasi, kinerja karyawan
",msdm
"Pengembangan Sumber Daya Manusia Dalam Rangka Meningkatkan Produktivitas Karyawan Pada
PT. Pos Indonesia (persero) Kantor Cabang Bangkalan
",Penulis : Ismie Novitasari Soekarno,"Dra. Hj. S. Anugrahini Irawati, MM","Faidal. S.E, MM","ABSTRAK
Penelitian ini bertujuan untuk meneliti apakah pendidikan dan pelatihan berpengaruh secara parsial dan secara simultan dalam rangka meningkatkan produktivitas karyawan, serta meniliti apakah variabel pendidikan berpengaruh dominan dalam meningkatkan produktivitas karyawan. untuk membuktikan hipotesis penelitian, alat analisis yang digunakan adalah regresi linier berganda dengan bantuan SPSS.
Hasil pengujian menunjukkan nilai Fhitung sebesar 10,542 dengan nilai signifikan Fhitung sebesar 0.000 (p<0.05) yang berarti ada pengaruh signifikan variabel pendidikan dan pelatihan secara bersama-sama dalam meningkatkan produktivitas karyawan pada PT. Pos Indonesia (persero) kantor Cabang Bangkalan. Koefisien determinasi berganda (R) atau R square sebesar 0,310 berarti secara bersama-sama 3,10% perubahan variabel produktivitas karyawan pada PT. Pos Indonesia (persero) Cabang Bangkalan disebabkan oleh variabel pendidikan dan pelatihan. Sedangkan sisanya 6,90% disebabkan oleh variabel lain yang tidak masuk dalam model ini. Dari hasil penelitian ini variabel pendidikan terbukti kebenarannya yang berpengaruh dominan dengan nilai beta sebesar 0,433.
",pemasaran
PENGARUH ETOS KERJA TERHADAP RESTASI KERJA KARYAWAN PT. PLN (Persero) DISTRIBUSI JAWA TIMUR AREA MOJOKERTO.,Penulis : Uswatun khasanah,"Dr. Dra. Hj. Iriani Ismail, MM","Helmi Buyung A. S.ST, SE, M.MT","Abtrak	
USWATUN KHASANAH, âPengaruh Etos Kerja Terhadap Presatasi Kerja Karyawan PT.PLN (Persero) Diatribusi Jawa Timur Area Mojokertoâ. 
Pengumpulan data dalam  penelitian ini adalah mengunakan survey kuesioner. Kuesioner dibagikan kepada sebagian karyawan PT. PLN (Persero) Distribusi Jawa Timur Area Mojokerto yang berjumlah 50 karyawan. Teknik analisis data yang digunakan untuk meguji hipotesis ini adalah menggunakan regresi Linier Berganda dengan memakai uji F dan uji t. Hasil analisis penelitian ini menyatakan secara simultan dengan menggunakan uji F etos kerja yang terdiri dari semanagt kerja, disiplin kerja dan kerja sama secara bersama-sama mempunyai pengaruh signifikan terhadap prestasi kerja karyawan PT. PLN (Persero) Distribusi Jawa Timur Area Mojokerto.
Secara parsial dengan menggunakan uji t menunjukkan bahwa variabel kerja sama dan semangat kerja berpengaruh signifikan, sedangkan variabel disiplin kerja tidak berpengaruh signifikan terhadap prestasi kerja karyawan PT. PLN (Persero) Distribusi Jawa Timur Area Mojokerto. Sedangkan variabel etos kerja merupakan variabel dominan yang mempengaruhi prestasi kerja karyawan. Sehingga dapat disimpulkan bahwa untuk meningkatkan prestasi kerja karyawan PT. PLN (Persero) Distribusi Jawa Timur Area Mojokerto harus meningkatkan etos kerja dari kerja sama dan semangat kerja..
Kata kunci : Etos Kerja dan Prestasi kerja.
",keuangan
"Pengaruh Budaya Terhadap Perilaku Pengemis Anak 
Di Kecamatan Kamal-Kab. Bangkalan",Penulis : Indah Permata Sari,"Dr. Hj. Iriani Ismail., Dra.,M.M","Faidal,SE., MM","Munculnya asumsi bahwa lahirnya budaya mengemis disebabkan adanya dua budaya yang paling berpengaruh terhadap anak dalam memilih profesi menjadi pengemis yaitu budaya lingkungan dan keluarga. Budaya juga mampu mempengaruhi sikap dan  periaku seseorang. Hal ini disebabkan karena kebiasaan yang dilakukan setiap hari dalam kehidupan sehari-hari. 
Berdasarkan hasil penelitian tentang pengaruh budaya terhadap perilaku pengemis anak di Kamal kab. Bangkalan dapat dikatakan sangat memprihatinkan. Hal ini dapat dilihat dari dua variabel yaitu variabel budaya yang terdiri dari tiga indikator dalam mengukur suatu budaya diantaranya etnografis yaitu tentang persepsi mereka sebagai pengemis. Sosialisasi yaitu adanya peran dari keluarga atau lingkungan yang menyebabkan mereka berprofesi sebagai pengemis. Modus operandi yaitu bentuk pengemis atau praktek mengemis, serta jaringan antara pengemis yang ada di desa tersebut. serta variable perilaku yang terdiri dari dua indicator yaitu behavioral sociology yang menerangkan tingkah laku yang terjadi di masa sekarang melalui kemungkinan akibatnya yang terjadi di masa yang akan datang. Sedangkan  teory exchange of social yang menerangkan bahwa suatu atau kekecewaan yang terjadi dalam kehidupan manusia bersumber pada perilaku pihak lain. Berdasarkan hasil dari penelitian, terdapat perilaku anak yang menyebabkan kekecewaan karena adnya faktor atau dorongan dari budaya keluarga dan lingkungan.
Kata kunci: Perilaku Sosial dan budaya
",msdm
PENGARUH FAKTOR-FAKTOR STRES KERJA TERHADAP DISIPLIN KERJA DOSEN UNIVERSITAS TRUNOJOYO MADURA,Penulis : Saiful Rahman,"Dr. Muhammad Alkirom Wildan,S.E.,M.Si","Helmi Buyung Aulia,S.ST.,S.E.,M.MT","ABSTRAK

Penelitian ini bertujuan untuk mengetahui pengaruh faktor-faktor stres kerja terhdap disiplin kerja yang dilakukan terhadap dosen Universitas Trunojoyo Madura dengan jumlah responden penelitian sebanyak 86 orang Dosen, data yang terkumpul selanjutnya dilakukan analisis Regresi Linier Berganda. Dengan menggunakan alat bantu software SPSS 16.0. hasil analisis terhadap pengujian hipotesis diperoleh sebagai berikut: adanya pengaruh faktor-faktor stres kerja yang terdiri dari stressor lingkungan fisik, stressor individu, stressor kelompok dan stressor organisasi mempunyai pengaruh terhadap disiplin kerja dosen dan variabel stressor lingkungan fisik merupakan variabel yang dominan mempengaruhi disiplin kerja dosen Universitas Trunojoyo Madura.

KataKunci :Stressor Lingkungan Fisik, Stressor Individu, Stressor Kelompok, Stressor Organisasi, Disiplin Kerja.
",pemasaran
PENGARUH STRUKTUR MODAL DAN LIKUIDITAS TERHADAP PROFITABILITAS PADA PERUSAHAAN LQ 45 YANG TERDAFTAR DI BEI,Penulis : AHMAD ZAINI ALI,"R. GATOT HERU PRANJOTO, SE., MM","PURNAMAWATI, SE., MSi","Pendekatan penelitian yang digunakan dalam penelitian ini adalah pendekatan kuantitatif. Populasi penelitian adalah perusahaan liquid 45 yang terdaftar di Bursa Efek Indonesia dengan teknik penarikan sampel menggunakan metode Purpossive Sampling kemudian dianalisis menggunakan uji  regresi linier berganda dengan menggunakan bantuan alat analisis Statistical Program for Service Solution (SPSS) versi 16.

Hipotesis penelitian ini adalah: Di duga terdapat pengaruh secara parsial maupun simultan antara variabel Rasio Likuiditas (Current Ratio) Dan Struktur Modal (Debt To Equity Ratio) dengan  Profitabilitas (ROE) pada perusahaan liquid 45 yang terdaftar di Bursa Efek Indonesia.

Hasil dari penelitian ini menunjukkan bahwa variabel current ratio secara parsial tidak memiliki pengaruh yang tidak signifikan dengan Profitabilitas (ROE), sedangkan  pada variabel debt to equity ratio secara parsial tidak memiliki pengaruh yang tidak signifikan dengan Profitabilitas (ROE). Berdasarkan hasil uji simultan (uji F) didapatkan hasil bahwa Current Ratio dan Debt To Equity Ratio tidak memiliki pengaruh yang tidak signifikan terhadap Profitabilitas pada perusahaan-perusahaan LQ 45.

Kata kunci: Likuiditas (Current Ratio) Dan Struktur Modal (Debt To Equity Ratio) dan Profitabilitas  	(ROE)
",pemasaran
"Analisis Kinerja Keuangan Perusahaan yang terdaftar di BEI sebelum dan sesudah akuisisi
( studi pada perusahaan manufaktur yang melakukan akuisisi tahun 2008)
",Penulis : DIANA AGUSTINI DEWI,"Drs.BAMBANG SUDARSONO.,MM","PURNAMAWATI,.SE,MSi","Diana Agustini Dewi, 2013. âAnalisis Kinerja Keuangan Perusahaan yang terdaftar di BEI sebelum dan sesudah akuisisi ( studi pada perusahaan manufaktur yang melakuukan akuisisi tahun 2008) Jurusan Ekonomi Manajemen, Fakultas Ekonomi, Universitas Trunojoyo Madura.

Penelitian ini bertujuan untuk menganalisis perbedaan kinerja keuangan perusahaan manufaktur antara sebelum dan sesudah akuisisi. Penelitian dilakukan terhadap perusahaan manufaktur yang terdaftar di Bursa Efek Indonesia.
	Populasi dalam penelitian ini adalah seluruh perusahaan manufaktur 
Yang terdaftar di bursa efek Indonesia yang melakukan akuisisi pada tahun 2008, yang terdiri dari 48 perusahaan. Dari populasi tersebut dipilih sample menggunakan metode purposive sampling yang didasarkan pada lima kriteria. Perusahaan manufaktur  yang terdaftar di BEI dari tahun 2004- tahun 2011,Tersedia laporan keuangan untuk 4 tahun sebelum dan 4 tahun sesudah aktivitas akuisisi,Melakukan akuisisi pada tahun 2008,Merupakan perusahaan pengakuisisi/ pengambil alih asset,Perusahaan tersebut mengakuisisi secara langsung (tidak melalui anak perusahaan). Berdasarkan kriteria yang telah disebutkan, maka diperoleh 9 perusahaan sampel. Penelitian sampel dilakukan selama empat tahun sebelum akuisisi ( tahun 2004- tahun 2007) dan empat tahun sesudah akuisisi (2008-2011).
	Variabel dalam penelitian ini adalah kinerja keuangan perusahaan yang diukur menggunakan alat analisis berupa current ratio, total asset turnover, debt ratio, return on investmen, dan earning per share.Kelima rasio tersebut kemudian dianalisisi menggunakan metode analisis Paired-samples t test.
",keuangan
PENGARUH RELATIONSHIP MARKETING TERHADAP LOYALITAS NASABAH ADIRA FINANCE DI WILAYAH SURABAYA BARAT,Penulis : ARYA SUBAYU,"Dr.H.Pribanus Wantara.,Drs.,MM","Hadi Purnomo, SE, MM","Tujuan penelitian ini adalah untuk mengetahui pengaruh variabel Relationship Marketing yang terdiri dari keuntungan bersama, komitmen, komunikasi, dan kebenaran terhadap loyalitas nasabah Adira Finance dan untuk mengetahui variabel relationship marketing yang berpengaruh lebih besar terhadap loyalitas nasabah Adira Finance di wilayah Surabaya barat.
Berdasarkan uji F variabel Relationship marketing yang terdiri dari keuntungan bersama, komitmen, komunikasi, kebenaran secara simultan berpengaruh signifikan terhadap loyalitas nasabah Adira Finance wilayah Surabaya barat. Berdasarkan uji t diketahui bahwa secara parsial variabel keuntungan bersama, komitmen, kebenaran berpengaruh signifikan terhadap variabel terikat sedangkan variabel komunikasi berpengaruh negatif terhadap variabel terikat. Variabel yang berpengaruh lebih besar adalah variabel komitmen.  
Kata kunci : Relationship Marketing, keuntungan bersama, komitmen, komunikasi, kebenaran, dan Loyalitas.
",msdm
"PENGARUH SELF EFFICACY TERHADAP PRESTASI AKADEMIK MAWAPRES
UNIVERSITAS TRUNOJOYO MADURA
",Penulis : ISTIB SYAROH ,"Dr. Dra. Hj. Iriani Ismail, MM","Drs. Ec. Mudji Kuswinarno, M.Si","Tujuan dari penelitian ini adalah untuk mengetahui seberapa besar pengaruh variabel self efficacy yang terdiri dari; magnitude, generality, strength terhadap prestasi akademik mahasiswa berprestasi Universitas Trunojoyo Madura. Dimana, mahasiswa yang diambil adalah mahasiswa yang mengikuti mawapres Universitas Trunojoyo Madura sebanyak 19 orang. Teknik analisis menggunakan analisis regresi linier berganda. Hipotesis Penelitian ini adalah Self Efficacy yang terdiri dari variabel magnitude, generality, dan strength berpengaruh terhadap prestasi akademik. Berdasarkan pengujian hipotesis dapat diterima. 
Temuan dari penelitian ini menunjukkan bahwa variabel self efficacy yang teridiri dari: Magnitude, Generality, dan Strength berpengaruh signifikan terhadap prestasi akademik mawapres Universitas Trunojoyo Madura. Dan diperoleh nilai (RÂ²) = 0,818 berarti variabel Magnitude, Generality, Strength memberikan pengaruh sebesar 81,8% terhadap prestasi akademik, sedangkan sisanya sebesar 18,2% dipengaruhi oleh faktor lain di luar variabel yang diteliti.
Kata Kunci : Self Efficacy,  Prestasi Akademik",msdm
Pengaruh Iklan di televisi terhadap keputusan konsumen untuk memakai kartu seluler XL di Kecamatan Geger (studi pada iklan versi: Paket Serbu (Versi Halte),Penulis : Muhammad Sholeh,"Bambang Setiyo Pambudi, S.E,MM","Suyono, S.E.,M.S.M","Muhammad Sholeh, Pengaruh Iklan Di Televisi Terhadap Keputusan Konsumen Untuk Memakai Kartu Seluler XL di Kecamatan Geger, dibawah bimbingan Bambang Setiyo Pambudi, SE, MM dan Suyono, SE, M.S.M.
Penelitian ini bertujuan untuk mengetahui pengaruh iklan terhadap keputusan konsumen untuk menggunakan kartu seluler XL yang dilakukan terhadap masyarakat di kecamatan Geger Kabupaten Bangkalan dengan jumlah responden penelitian sebanyak 50 Responden, data yang terkumpul selanjutnya dilakukan analisis regresi linier berganda. Dengan menggunakan alat bantu software SPSS 16.0. Hasil analisis terhadap pengujian hipotesis diperoleh sebagai berikut: bahwa pengaruh iklan yang terdiri dari isi pesan, struktur pesan, format pesan dan sumber pesan mempunyai pengaruh yang signifikan terhadap keputusan konsumen untuk menggunakan kartu seluler XL, dan pada Uji parsial diketahui bahwa variabel isi pesan merupakan variabel yang dominan memberikan pengaruh terhadap keputusan konsumen untuk menggunakan kartu seluler XL di Kecamatan Geger.
Keywords : Isi Pesan, Struktur Pesan, Format Pesan, Sumber Pesan.
",msdm
